package,previous_name,name,previous_camel_cased,camel_cased,previous_pascal_cased,pascal_cased
@nrk/core-icons,nrk-geopoint,pin,nrkGeopoint,pinIcon,NrkGeopoint,PinIcon
@nrk/core-icons,nrk-geo,target,nrkGeo,targetIcon,NrkGeo,TargetIcon
@nrk/core-icons,nrk-media-beam-note,music-notes,nrkMediaBeamNote,musicNotesIcon,NrkMediaBeamNote,MusicNotesIcon
@nrk/core-icons,nrk-note-2,music-notes,nrkNote2,musicNotesIcon,NrkNote2,MusicNotesIcon
@nrk/core-icons,nrk-globe,globe,nrkGlobe,globeIcon,NrkGlobe,GlobeIcon
@nrk/core-icons,nrk-media-video,play-rectangle,nrkMediaVideo,playRectangleIcon,NrkMediaVideo,PlayRectangleIcon
@nrk/core-icons,nrk-media-quaver,music-note,nrkMediaQuaver,musicNoteIcon,NrkMediaQuaver,MusicNoteIcon
@nrk/core-icons,nrk-note-1,music-note,nrkNote1,musicNoteIcon,NrkNote1,MusicNoteIcon
@nrk/core-icons,nrk-media-chromecast,chromecast,nrkMediaChromecast,chromecastIcon,NrkMediaChromecast,ChromecastIcon
@nrk/core-icons,nrk-category--active,squares-2x2-solid,nrkCategoryActive,squares2x2SolidIcon,NrkCategoryActive,Squares2x2SolidIcon
@nrk/core-icons,nrk-some-tommelned,thumbs-down,nrkSomeTommelned,thumbsDownIcon,NrkSomeTommelned,ThumbsDownIcon
@nrk/core-icons,nrk-ellipsis,ellipsis,nrkEllipsis,ellipsisIcon,NrkEllipsis,EllipsisIcon
@nrk/core-icons,nrk-media-ffw-5sec,go-forward-5,nrkMediaFfw5sec,goForward5Icon,NrkMediaFfw5sec,GoForward5Icon
@nrk/core-icons,nrk-arrow-nested,arrow-turn-right-down,nrkArrowNested,arrowTurnRightDownIcon,NrkArrowNested,ArrowTurnRightDownIcon
@nrk/core-icons,nrk-arrow-right-long,arrow-right-long,nrkArrowRightLong,arrowRightLongIcon,NrkArrowRightLong,ArrowRightLongIcon
@nrk/core-icons,nrk-media-ffw-15sec,go-forward-15,nrkMediaFfw15sec,goForward15Icon,NrkMediaFfw15sec,GoForward15Icon
@nrk/core-icons,nrk-settings,settings,nrkSettings,settingsIcon,NrkSettings,SettingsIcon
@nrk/core-icons,nrk-edit,pencil-line,nrkEdit,pencilLineIcon,NrkEdit,PencilLineIcon
@nrk/core-icons,nrk-arrow-left,arrow-left,nrkArrowLeft,arrowLeftIcon,NrkArrowLeft,ArrowLeftIcon
@nrk/core-icons,nrk-download,download,nrkDownload,downloadIcon,NrkDownload,DownloadIcon
@nrk/core-icons,nrk-arrow-right,arrow-right,nrkArrowRight,arrowRightIcon,NrkArrowRight,ArrowRightIcon
@nrk/core-icons,nrk-media-speed-1x,multiplier-1,nrkMediaSpeed1x,multiplier1Icon,NrkMediaSpeed1x,Multiplier1Icon
@nrk/core-icons,nrk-arrow-down,arrow-down,nrkArrowDown,arrowDownIcon,NrkArrowDown,ArrowDownIcon
@nrk/core-icons,nrk-unlock--active,lock-open-solid,nrkUnlockActive,lockOpenSolidIcon,NrkUnlockActive,LockOpenSolidIcon
@nrk/core-icons,nrk-media-media-complete,checkmark-circle-checked,nrkMediaMediaComplete,checkmarkCircleCheckedIcon,NrkMediaMediaComplete,CheckmarkCircleCheckedIcon
@nrk/core-icons,nrk-some-tommelned--active,thumbs-down-solid,nrkSomeTommelnedActive,thumbsDownSolidIcon,NrkSomeTommelnedActive,ThumbsDownSolidIcon
@nrk/core-icons,nrk-back,arrow-uturn-left,nrkBack,arrowUturnLeftIcon,NrkBack,ArrowUturnLeftIcon
@nrk/core-icons,nrk-sleep,zz,nrkSleep,zzIcon,NrkSleep,ZzIcon
@nrk/core-icons,nrk-media-rwd-30sec,go-backward-30,nrkMediaRwd30sec,goBackward30Icon,NrkMediaRwd30sec,GoBackward30Icon
@nrk/core-icons,nrk-heart,heart,nrkHeart,heartIcon,NrkHeart,HeartIcon
@nrk/core-icons,nrk-chevron-up,chevron-up,nrkChevronUp,chevronUpIcon,NrkChevronUp,ChevronUpIcon
@nrk/core-icons,nrk-radio--active,radio-button-checked,nrkRadioActive,radioButtonCheckedIcon,NrkRadioActive,RadioButtonCheckedIcon
@nrk/core-icons,nrk-media-chromecast--active,chromecast-solid,nrkMediaChromecastActive,chromecastSolidIcon,NrkMediaChromecastActive,ChromecastSolidIcon
@nrk/core-icons,nrk-media-ffw-30sec,go-forward-30,nrkMediaFfw30sec,goForward30Icon,NrkMediaFfw30sec,GoForward30Icon
@nrk/core-icons,nrk-online,wifi,nrkOnline,wifiIcon,NrkOnline,WifiIcon
@nrk/core-icons,nrk-some-tommelopp,thumbs-up,nrkSomeTommelopp,thumbsUpIcon,NrkSomeTommelopp,ThumbsUpIcon
@nrk/core-icons,nrk-upload,upload,nrkUpload,uploadIcon,NrkUpload,UploadIcon
@nrk/core-icons,nrk-check-radio--unchecked,radio-button-unchecked,nrkCheckRadioUnchecked,radioButtonUncheckedIcon,NrkCheckRadioUnchecked,RadioButtonUncheckedIcon
@nrk/core-icons,nrk-search,magnifying-glass,nrkSearch,magnifyingGlassIcon,NrkSearch,MagnifyingGlassIcon
@nrk/core-icons,nrk-more,ellipsis-vertical,nrkMore,ellipsisVerticalIcon,NrkMore,EllipsisVerticalIcon
@nrk/core-icons,nrk-unlock,lock-open,nrkUnlock,lockOpenIcon,NrkUnlock,LockOpenIcon
@nrk/core-icons,nrk-heart--active,heart-solid,nrkHeartActive,heartSolidIcon,NrkHeartActive,HeartSolidIcon
@nrk/core-icons,nrk-link,link,nrkLink,linkIcon,NrkLink,LinkIcon
@nrk/core-icons,nrk-some-share-ios,square-and-arrow-up,nrkSomeShareIos,squareAndArrowUpIcon,NrkSomeShareIos,SquareAndArrowUpIcon
@nrk/core-icons,nrk-more--active,ellipsis-vertical-circle-solid,nrkMoreActive,ellipsisVerticalCircleSolidIcon,NrkMoreActive,EllipsisVerticalCircleSolidIcon
@nrk/core-icons,nrk-media-ffw,forward,nrkMediaFfw,forwardIcon,NrkMediaFfw,ForwardIcon
@nrk/core-icons,nrk-media-rwd-15sec,go-backward-15,nrkMediaRwd15sec,goBackward15Icon,NrkMediaRwd15sec,GoBackward15Icon
@nrk/core-icons,nrk-lock--active,lock-closed-solid,nrkLockActive,lockClosedSolidIcon,NrkLockActive,LockClosedSolidIcon
@nrk/core-icons,nrk-media-next,forward-end,nrkMediaNext,forwardEndIcon,NrkMediaNext,ForwardEndIcon
@nrk/core-icons,nrk-360,arrow-circle-perspective-counterclockwise,nrk360,arrowCirclePerspectiveCounterclockwiseIcon,Nrk360,ArrowCirclePerspectiveCounterclockwiseIcon
@nrk/core-icons,nrk-some-share,arrow-turn-up-right,nrkSomeShare,arrowTurnUpRightIcon,NrkSomeShare,ArrowTurnUpRightIcon
@nrk/core-icons,nrk-media-speed-1_25x,multiplier-1_25,nrkMediaSpeed1_25x,multiplier1_25Icon,NrkMediaSpeed1_25x,Multiplier1_25Icon
@nrk/core-icons,nrk-chevron-right,chevron-right,nrkChevronRight,chevronRightIcon,NrkChevronRight,ChevronRightIcon
@nrk/core-icons,nrk-close,xmark,nrkClose,xmarkIcon,NrkClose,XmarkIcon
@nrk/core-icons,nrk-star,star,nrkStar,starIcon,NrkStar,StarIcon
@nrk/core-icons,nrk-rotate,arrows-circle-counterclockwise,nrkRotate,arrowsCircleCounterclockwiseIcon,NrkRotate,ArrowsCircleCounterclockwiseIcon
@nrk/core-icons,nrk-media-subtitles,speech-bubble-subtitles,nrkMediaSubtitles,speechBubbleSubtitlesIcon,NrkMediaSubtitles,SpeechBubbleSubtitlesIcon
@nrk/core-icons,nrk-media-previous,backward-end,nrkMediaPrevious,backwardEndIcon,NrkMediaPrevious,BackwardEndIcon
@nrk/core-icons,nrk-settings--active,settings-solid,nrkSettingsActive,settingsSolidIcon,NrkSettingsActive,SettingsSolidIcon
@nrk/core-icons,nrk-ellipsis--active,ellipsis-circle-solid,nrkEllipsisActive,ellipsisCircleSolidIcon,NrkEllipsisActive,EllipsisCircleSolidIcon
@nrk/core-icons,nrk-star--active,star-solid,nrkStarActive,starSolidIcon,NrkStarActive,StarSolidIcon
@nrk/core-icons,nrk-media-theater,rectangle-expand,nrkMediaTheater,rectangleExpandIcon,NrkMediaTheater,RectangleExpandIcon
@nrk/core-icons,nrk-media-direktetv--active,tv-dot-solid,nrkMediaDirektetvActive,tvDotSolidIcon,NrkMediaDirektetvActive,TvDotSolidIcon
@nrk/core-icons,nrk-user-loggedin,face-grinning,nrkUserLoggedin,faceGrinningIcon,NrkUserLoggedin,FaceGrinningIcon
@nrk/core-icons,nrk-search--active,magnifying-glass-strong,nrkSearchActive,magnifyingGlassStrongIcon,NrkSearchActive,MagnifyingGlassStrongIcon
@nrk/core-icons,nrk-tilgjengelighet,accessibility,nrkTilgjengelighet,accessibilityIcon,NrkTilgjengelighet,AccessibilityIcon
@nrk/core-icons,nrk-list,list,nrkList,listIcon,NrkList,ListIcon
@nrk/core-icons,nrk-hardware-microphone--active,microphone-solid,nrkHardwareMicrophoneActive,microphoneSolidIcon,NrkHardwareMicrophoneActive,MicrophoneSolidIcon
@nrk/core-icons,nrk-tilgjengelighet-horbarhet,ear,nrkTilgjengelighetHorbarhet,earIcon,NrkTilgjengelighetHorbarhet,EarIcon
@nrk/core-icons,nrk-bell--active,bell-solid,nrkBellActive,bellSolidIcon,NrkBellActive,BellSolidIcon
